sampling_date,family,name,genus,clade,Tcrit,Tmax,lma,ldmc,tau,char_dimension,leaf_area,mean_temp
20220609,Acanthaceae,Strobilanthes_attenuata,Strobilanthes,angiosperm,46.202,54.666,0.04,0.193,14.196,0.06195,0.003399,14.6
20220620,Acoraceae,Acorus_amaricanus,Acorus,angiosperm,49.533,55.351,0.029,0.166,6.683,0.01795,0.01126,14.5
20220608,Actinidiaceae,Actinidia_deliciosa,Actinidia,angiosperm,49.257,57.144,0.026,0.181,16.179,0.1666,0.03457,14.6
20220616,Adoxaceae,Viburnum_henryi,Viburnum,angiosperm,46.898,53.437,0.092,0.288,15.185,0.03273,0.001935,14
20220707,Alismataceae,Alisma_plantago-aquatica,Alisma,angiosperm,46.908,52.69,0.026,0.126,16.295,0.07604,0.01755,16.7
20220615,Alstroemeriaceae,Alstroemeria_revoluta,Alstroemeria,angiosperm,39.965,46.768,0.059,0.151,8.976,0.00658,0.000132,14.5
20220628,Altingiaceae,Liquidambar_styraciflua,Liquidambar,angiosperm,46.962,56.814,0.074,0.385,12.725,0.07137,0.01159,21.7
20220630,Amaranthaceae,Spinacia_oleracea,Spinacia,angiosperm,43.847,51.803,0.027,0.117,13.546,0.0391,0.00128,19.3
20220627,Amaryllidaceae,Allium_schoenoprasum,Allium,angiosperm,51.13,57.783,0.098,0.147,17.854,0.00864,0.002338,19.8
20220614,Anacardiaceae,Rhus_typhina,Rhus,angiosperm,45.609,55.214,0.021,0.227,5.505,0.04574,0.08638,15.1
20220627,Annonaceae,Asimina_triloba,Asimina,angiosperm,46.374,53.159,0.022,0.172,9.441,0.06742,0.005258,19.8
20220613,Apiaceae,Astrantia_major,Astrantia,angiosperm,42.082,54.234,0.029,0.197,9.51,0.05502,0.01218,15.4
20220621,Apocynaceae,Asclepias_speciosa,Asclepias,angiosperm,45.268,53.953,0.048,0.111,29.02,0.05284,0.003849,14.9
20220704,Aquifoliaceae,Ilex_latifolia,Ilex,angiosperm,48.448,54.762,0.075,0.201,26.742,0.06743,0.008131,17.1
20220630,Araliaceae,Hedera_helix,Hedera,angiosperm,47.337,55.98,0.052,0.222,12.839,0.0406,0.003188,19.3
20220628,Aristolochiaceae,Aristolochia_tomentosa,Aristolochia,angiosperm,45.966,54.991,0.018,0.136,11.507,0.08903,0.006491,21.7
20220606,Asparagaceae,Hosta_sieboldii,Hosta,angiosperm,47.768,54.788,0.04,0.112,34.229,0.1077,0.01973,16
20220615,Asphodelaceae,Kniphofia_hirsuta,Kniphofia,angiosperm,45.602,54.983,0.104,0.161,25.802,0.0196,0.004178,14.5
20220621,Aspleniaceae,Asplenium_scolopendrium,Asplenium,angiosperm,46.103,51.772,0.054,0.194,18.955,0.05873,0.01983,14.9
20220707,Asteliaceae,Astelia_chathamica,Astelia,angiosperm,43.904,53.793,0.22,0.324,29.755,0.02924,0.01074,16.7
20220620,Asteraceae,Inula_helenium,Inula,angiosperm,46.121,51.579,0.022,0.159,15.084,0.1415,0.05322,14.5
20220617,Athyriaceae,Athyrium_distentifolium,Athyrium,pteridophyte,45.532,53.812,0.038,0.244,5.848,0.01971,0.004107,13.8
20220609,Balsaminaceae,Impatiens_omeiana,Impatiens,angiosperm,43.366,50.167,0.019,0.1,11.044,0.03701,0.00342,14.6
20220629,Begoniaceae,Begonia_emiensis,Begonia,angiosperm,44.49,48.282,0.016,0.034,48.805,0.1104,0.03059,21
20220606,Berberidaceae,Berberis_aquifolium,Berberis,angiosperm,44.196,52.686,0.08,0.409,8.097,0.0289,0.001038,16
20220623,Betulaceae,Ostrya_carpinifolia,Ostrya,angiosperm,45.219,54.511,0.061,0.396,9.513,0.06363,0.00333,15.6
20220704,Bignoniaceae,Catalpa_speciosa,Catalpa,angiosperm,49.185,54.493,0.027,0.177,15.01,0.1208,0.01486,17.1
20220614,Blechnaceae,Blechnum_spicant,Blechnum,pteridophyte,44.761,51.463,0.032,0.165,9.069,0.02777,0.02307,15.1
20220606,Boraginaceae,Trachystemon_orientalis,Trachystemon,angiosperm,47.614,53.286,0.022,0.109,21.209,0.1314,0.1013,16
20220607,Boraginaceae,Hydrophyllum_tenuipes,Hydrophyllum,angiosperm,43.497,51.25,0.023,0.134,10.979,0.04987,0.007588,15.4
20220610,Brassicaceae,Pachyphragma_macrophyllum,Pachyphragma,angiosperm,44.389,53.14,0.038,0.232,15.375,0.117,0.02718,14.6
20220629,Buxaceae,Sarcococca_confusa,Sarcococca,angiosperm,49.004,56.83,0.249,0.272,44.011,0.03271,0.001224,21
20220615,Calceolariaceae,Calceolaria_cavanillesii,Calceolaria,angiosperm,44.272,48.937,0.04,0.152,14.238,0.0359,0.002011,14.5
20220613,Calycanthaceae,Calycanthus_floridus,Calycanthus,angiosperm,46.491,53.216,0.036,0.256,9.056,0.05735,0.003438,15.4
20220615,Campanulaceae,Lobelia_tupa,Lobelia,angiosperm,43.78,52.24,0.065,0.175,26.736,0.06481,0.005627,14.5
20220620,Cannabaceae,Humulus_lupulus,Humulus,angiosperm,46.009,53.218,0.04,0.192,18.057,0.09696,0.01413,14.5
20220614,Caprifoliaceae,Lonicera_involucrata,Lonicera,angiosperm,42.983,52.768,0.072,0.347,10.866,0.04286,0.002428,15.1
20220624,Caryophyllaceae,Dianthus_giganteus,Dianthus,angiosperm,48.841,53.936,0.075,0.297,6.225,0.00882,0.0005843,15.1
20220616,Celastraceae,Euonymus_carnosus,Euonymus,angiosperm,45.639,50.932,0.098,0.389,15.155,0.06035,0.004607,14
20220624,Cercidiphyllaceae,Cercidiphyllum_japonicum,Cercidiphyllum,angiosperm,48.381,56.491,0.046,0.306,10.995,0.07844,0.004516,15.1
20220606,Cistaceae,Cistus_albidus,Cistus,angiosperm,48.537,54.937,0.064,0.26,10.084,0.02372,0.0007247,16
20220610,Clethraceae,Clethra_alnifolia,Clethra,angiosperm,44.16,52.66,0.043,0.275,9.184,0.04882,0.002113,14.6
20220621,Colchicaceae,Colchicum_autumnale,Colchicum,angiosperm,44.951,54.076,0.039,0.117,24.719,0.06436,0.02397,14.9
20220620,Commelinaceae,Tradescantia_occidentalis,Tradescantia,angiosperm,47.354,52.779,0.026,0.078,16.507,0.02862,0.00508,14.5
