Longitude (x),Latitude (y),Station Name,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C)
-123.26,49.33,POINT ATKINSON,2022-01-01,2022,1,1,4,-3.6,0.2,17.8
-123.26,49.33,POINT ATKINSON,2022-01-02,2022,1,2,6.1,1,3.6,14.4
-123.26,49.33,POINT ATKINSON,2022-01-03,2022,1,3,5.5,2.9,4.2,13.8
-123.26,49.33,POINT ATKINSON,2022-01-04,2022,1,4,4.9,0.4,2.7,15.3
-123.26,49.33,POINT ATKINSON,2022-01-05,2022,1,5,0.9,-1.3,-0.2,18.2
-123.26,49.33,POINT ATKINSON,2022-01-06,2022,1,6,7.1,-1.6,2.8,15.2
-123.26,49.33,POINT ATKINSON,2022-01-07,2022,1,7,5.6,2.9,4.2,13.8
-123.26,49.33,POINT ATKINSON,2022-01-08,2022,1,8,5,0.6,2.8,15.2
-123.26,49.33,POINT ATKINSON,2022-01-09,2022,1,9,8.9,2.9,5.9,12.1
-123.26,49.33,POINT ATKINSON,2022-01-10,2022,1,10,10.7,3.6,7.2,10.8
-123.26,49.33,POINT ATKINSON,2022-01-11,2022,1,11,10.5,7.5,9,9
-123.26,49.33,POINT ATKINSON,2022-01-12,2022,1,12,12.4,6.7,9.6,8.4
-123.26,49.33,POINT ATKINSON,2022-01-13,2022,1,13,10.8,6.6,8.7,9.3
-123.26,49.33,POINT ATKINSON,2022-01-14,2022,1,14,8.9,6.3,7.6,10.4
-123.26,49.33,POINT ATKINSON,2022-01-15,2022,1,15,7.6,5.3,6.5,11.5
-123.26,49.33,POINT ATKINSON,2022-01-16,2022,1,16,6.4,5,5.7,12.3
-123.26,49.33,POINT ATKINSON,2022-01-17,2022,1,17,7.5,4.6,6,12
-123.26,49.33,POINT ATKINSON,2022-01-18,2022,1,18,7,5.4,6.2,11.8
-123.26,49.33,POINT ATKINSON,2022-01-19,2022,1,19,7.8,5.7,6.7,11.3
-123.26,49.33,POINT ATKINSON,2022-01-20,2022,1,20,10.3,5.7,8,10
-123.26,49.33,POINT ATKINSON,2022-01-21,2022,1,21,7.2,5.6,6.4,11.6
-123.26,49.33,POINT ATKINSON,2022-01-22,2022,1,22,7.4,4.3,5.8,12.2
-123.26,49.33,POINT ATKINSON,2022-01-23,2022,1,23,4.8,1.9,3.3,14.7
-123.26,49.33,POINT ATKINSON,2022-01-24,2022,1,24,4.5,1.5,3,15
-123.26,49.33,POINT ATKINSON,2022-01-25,2022,1,25,3,0.8,1.9,16.1
-123.26,49.33,POINT ATKINSON,2022-01-26,2022,1,26,5.3,0.8,3,15
-123.26,49.33,POINT ATKINSON,2022-01-27,2022,1,27,5.5,1.3,3.4,14.6
-123.26,49.33,POINT ATKINSON,2022-01-28,2022,1,28,6.9,0.6,3.7,14.3
-123.26,49.33,POINT ATKINSON,2022-01-29,2022,1,29,7.4,3.1,5.3,12.7
-123.26,49.33,POINT ATKINSON,2022-01-30,2022,1,30,8.6,4.9,6.8,11.2
-123.26,49.33,POINT ATKINSON,2022-01-31,2022,1,31,6.9,5,5.9,12.1
-123.26,49.33,POINT ATKINSON,2022-02-01,2022,2,1,7.1,2,4.6,13.4
-123.26,49.33,POINT ATKINSON,2022-02-02,2022,2,2,3.2,0.8,2,16
-123.26,49.33,POINT ATKINSON,2022-02-03,2022,2,3,6.1,2,4.1,13.9
-123.26,49.33,POINT ATKINSON,2022-02-04,2022,2,4,7.9,4.8,6.4,11.6
-123.26,49.33,POINT ATKINSON,2022-02-05,2022,2,5,8,5.5,6.8,11.2
-123.26,49.33,POINT ATKINSON,2022-02-06,2022,2,6,7.9,3.7,5.8,12.2
-123.26,49.33,POINT ATKINSON,2022-02-07,2022,2,7,11.8,5.7,8.7,9.3
-123.26,49.33,POINT ATKINSON,2022-02-08,2022,2,8,7.3,5.6,6.5,11.5
-123.26,49.33,POINT ATKINSON,2022-02-09,2022,2,9,7.9,5.6,6.8,11.2
-123.26,49.33,POINT ATKINSON,2022-02-10,2022,2,10,7.4,5.9,6.6,11.4
-123.26,49.33,POINT ATKINSON,2022-02-11,2022,2,11,11,4.3,7.7,10.3
-123.26,49.33,POINT ATKINSON,2022-02-12,2022,2,12,10.4,2.8,6.6,11.4
-123.26,49.33,POINT ATKINSON,2022-02-13,2022,2,13,9.1,3.8,6.5,11.5
-123.26,49.33,POINT ATKINSON,2022-02-14,2022,2,14,10.9,6.2,8.5,9.5
-123.26,49.33,POINT ATKINSON,2022-02-15,2022,2,15,8.2,6.1,7.1,10.9
-123.26,49.33,POINT ATKINSON,2022-02-16,2022,2,16,8.7,4.9,6.8,11.2
-123.26,49.33,POINT ATKINSON,2022-02-17,2022,2,17,8.3,5.6,6.9,11.1
-123.26,49.33,POINT ATKINSON,2022-02-18,2022,2,18,8.1,6.6,7.4,10.6
-123.26,49.33,POINT ATKINSON,2022-02-19,2022,2,19,7,5.2,6.1,11.9
-123.26,49.33,POINT ATKINSON,2022-02-20,2022,2,20,8.6,3.4,6,12
-123.26,49.33,POINT ATKINSON,2022-02-21,2022,2,21,7.4,1.6,4.5,13.5
-123.26,49.33,POINT ATKINSON,2022-02-22,2022,2,22,4.5,-1.6,1.4,16.6
-123.26,49.33,POINT ATKINSON,2022-02-23,2022,2,23,2,-2.9,-0.4,18.4
-123.26,49.33,POINT ATKINSON,2022-02-24,2022,2,24,3.8,-1.8,1,17
-123.26,49.33,POINT ATKINSON,2022-02-25,2022,2,25,5.8,-0.4,2.7,15.3
-123.26,49.33,POINT ATKINSON,2022-02-26,2022,2,26,11.2,1.8,6.5,11.5
-123.26,49.33,POINT ATKINSON,2022-02-27,2022,2,27,9.5,6.9,8.2,9.8
-123.26,49.33,POINT ATKINSON,2022-02-28,2022,2,28,9.3,6.3,7.8,10.2
-123.26,49.33,POINT ATKINSON,2022-03-01,2022,3,1,11.4,7,9.2,8.8
-123.26,49.33,POINT ATKINSON,2022-03-02,2022,3,2,10.9,6.9,8.9,9.1
-123.26,49.33,POINT ATKINSON,2022-03-03,2022,3,3,8.6,6.3,7.4,10.6
-123.26,49.33,POINT ATKINSON,2022-03-04,2022,3,4,8.7,5.9,7.3,10.7
-123.26,49.33,POINT ATKINSON,2022-03-05,2022,3,5,9.4,4.5,7,11
-123.26,49.33,POINT ATKINSON,2022-03-06,2022,3,6,8.7,3.5,6.1,11.9
-123.26,49.33,POINT ATKINSON,2022-03-07,2022,3,7,8.9,5.2,7,11
-123.26,49.33,POINT ATKINSON,2022-03-08,2022,3,8,,,,
-123.26,49.33,POINT ATKINSON,2022-03-09,2022,3,9,,,,
-123.26,49.33,POINT ATKINSON,2022-03-10,2022,3,10,6.3,1,3.7,14.3
-123.26,49.33,POINT ATKINSON,2022-03-11,2022,3,11,5.6,2.7,4.2,13.8
-123.26,49.33,POINT ATKINSON,2022-03-12,2022,3,12,9.1,3.5,6.3,11.7
-123.26,49.33,POINT ATKINSON,2022-03-13,2022,3,13,11.1,5.6,8.4,9.6
-123.26,49.33,POINT ATKINSON,2022-03-14,2022,3,14,8.7,5.9,7.3,10.7
-123.26,49.33,POINT ATKINSON,2022-03-15,2022,3,15,9.5,6,7.7,10.3
-123.26,49.33,POINT ATKINSON,2022-03-16,2022,3,16,10.9,5.3,8.1,9.9
-123.26,49.33,POINT ATKINSON,2022-03-17,2022,3,17,7.5,5.1,6.3,11.7
-123.26,49.33,POINT ATKINSON,2022-03-18,2022,3,18,10.2,5.6,7.9,10.1
-123.26,49.33,POINT ATKINSON,2022-03-19,2022,3,19,9.7,6.3,8,10
